N		thr_blc	 Time [s]
512		1024	 0.151121
1024	1024	 0.173178
2048	1024	 0.336799
4096	1024	 0.663918
8192	1024	 1.322499
16384	1024	 5.250283
32768	1024	 15.707954
65536	1024	 52.328272
131072	1024	 209.347751
----------------------
512		512		 0.083599
1024	512		 0.159275
2048	512		 0.310706
4096	512		 0.613174
8192	512		 1.626228
16384	512		 4.623113
32768	512		 18.396529
65536	512		 73.314175
131072	512		 257.127513
----------------------
512		256		 0.081491
1024	256		 0.155385
2048	256		 0.302626
4096	256		 0.607508
8192	256		 1.350676
16384	256		 4.011949
32768	256		 18.884284
65536	256		 69.570096
131072	256		 258.061894
----------------------
512		128		 0.068301
1024	128		 0.121736
2048	128		 0.238613
4096	128		 0.471170
8192	128		 1.041903
16384	128		 3.500181
32768	128		 14.024196
65536	128		 55.094464
131072	128		 218.606279
----------------------
512		64		 0.124048
1024	64		 0.239210
2048	64		 0.469743
4096	64		 0.949582
8192	64		 2.081711
16384	64		 10.028160
32768	64		 33.195984
65536	64		 111.979023
131072	64		 447.384707
-----------------------
512		32		 0.271466
1024	32		 0.464506
2048	32		 0.969312
4096	32		 1.886064
8192	32		 7.424748
16384	32		 22.575948
32768	32		 75.677038
65536	32		 301.640707
---------------------------
512		16		 0.646307
1024	16		 1.288652
2048	16		 2.363245
4096	16		 9.770981
8192	16		 28.642195
16384	16		 93.742100
32768	16		 376.129069
