N		thr_blc	 Time [s]
512		512		 0.083599
1024	512		 0.159275
2048	512		 0.310706
4096	512		 0.613174
8192	512		 1.626228
16384	512		 4.623113
32768	512		 18.396529
65536	512		 73.314175
131072	512		 257.127513
---------------------------
512		256		 0.081491
1024	256		 0.155385
2048	256		 0.302626
4096	256		 0.607508
8192	256		 1.350676
16384	256		 4.011949
32768	256		 18.884284
65536	256		 69.570096
131072	256		 258.061894
---------------------------
512		128		 0.090510
1024	128		 0.166157
2048	128		 0.325010
4096	128		 0.616194
8192	128		 1.274213
16384	128		 4.032958
32768	128		 17.819175
65536	128		 70.201402
131072	128		 256.002211
---------------------------
512		64		 0.163341
1024	64		 0.331474
2048	64		 0.629207
4096	64		 1.192349
8192	64		 2.458047
16384	64		 11.208506
32768	64		 35.126380
65536	64		 127.001985
131072	64		 507.727116
---------------------------
512		32		 0.310007
1024	32		 0.628850
2048	32		 1.221110
4096	32		 2.365261
8192	32		 9.618317
16384	32		 28.657975
32768	32		 93.838438
65536	32		 375.504182
131072	32		 1499.938809
---------------------------
512		16		 0.646307
1024	16		 1.288652
2048	16		 2.363245
4096	16		 9.770981
8192	16		 28.642195
16384	16		 93.742100
32768	16		 376.129069
