N	thr_blc	 Time [s]
512	1024	 0.050065
1024	1024	 0.092250
2048	1024	 0.157870
4096	1024	 0.285976
8192	1024	 0.560474
16384	1024	 2.221377
32768	1024	 8.858589
65536	1024	 31.723232
131072	1024	 120.809053
---------------------------
512	512	 0.031940
1024	512	 0.060470
2048	512	 0.116567
4096	512	 0.209095
8192	512	 0.674179
16384	512	 2.660845
32768	512	 9.310289
65536	512	 35.165466
131072	512	 142.618351
---------------------------
512	256	 0.025265
1024	256	 0.046694
2048	256	 0.090396
4096	256	 0.201858
8192	256	 0.676055
16384	256	 2.380311
32768	256	 9.425573
65536	256	 36.418541
131072	256	 143.863890
---------------------------
512	128	 0.018759
1024	128	 0.034576
2048	128	 0.073831
4096	128	 0.170952
8192	128	 0.506602
16384	128	 1.905760
32768	128	 7.769825
65536	128	 31.381734
131072	128	 124.195999
---------------------------
512	64	 0.027914
1024	64	 0.053430
2048	64	 0.116195
4096	64	 0.312593
8192	64	 1.018079
16384	64	 3.822298
32768	64	 16.103359
65536	64	 63.420108
131072	64	 244.961045
---------------------------
512	32	 0.053670
1024	32	 0.104730
2048	32	 0.228227
4096	32	 0.623258
8192	32	 2.037412
16384	32	 8.083420
32768	32	 32.040325
65536	32	 122.615694
131072	32	 483.579013
---------------------------
512	16	 0.103212
1024	16	 0.227510
2048	16	 0.621481
4096	16	 2.014706
8192	16	 7.941354
16384	16	 31.439143
32768	16	 119.907126
65536	16	 472.101035
131072	16	 1863.313210
